Year,Large Stock Total Return,Large Stock Income Return,Large Stock Capital Appreciation,Small Stock Total Return,Long-Term 20Y CorpBonds TR,Long-Term 20Y GovtBonds TR,Long-Term 20Y GovtBonds IR,Long-Term 20Y GovtBonds Cap App,Long-Term 20Y GovtBonds Yield,IT 5Y GovtBonds TR,IT 5Y GovtBonds IR,IT 5Y GovtBonds Cap App,IT 5Y GovtBonds Yield,30 Day TBill TR,Inflation,,
1926,0.116239,0.054073,0.057213,0.002767,0.073744,0.077694,0.037276,0.039076,0.035439,0.053770,0.037763,0.015057,0.036100,0.032665,-0.011173,,
1927,0.374885,0.057081,0.309118,0.220969,0.074436,0.089279,0.034088,0.053958,0.031650,0.045236,0.034899,0.009618,0.034000,0.031247,-0.022599,,
1928,0.436084,0.048130,0.378822,0.396944,0.028412,0.001039,0.032172,-0.031226,0.033994,0.009208,0.036406,-0.027336,0.040100,0.035579,-0.011561,,
1929,-0.084153,0.039835,-0.119097,-0.513593,0.032730,0.034213,0.034743,-0.001997,0.034048,0.060138,0.040684,0.017677,0.036200,0.047480,0.005848,,
1930,-0.248970,0.045688,-0.284848,-0.381465,0.079751,0.046584,0.033248,0.012794,0.033041,0.067151,0.033018,0.033008,0.029100,0.024103,-0.063954,,
1931,-0.433365,0.053456,-0.470665,-0.497539,-0.018510,-0.053094,0.033277,-0.084644,0.040725,-0.023202,0.031580,-0.054024,0.041200,0.010730,-0.093168,,
1932,-0.081928,0.061576,-0.151478,-0.053896,0.108202,0.168423,0.036864,0.129399,0.031515,0.088112,0.036290,0.050226,0.030400,0.009617,-0.102740,,
1933,0.539901,0.063861,0.465893,1.428661,0.103761,-0.000741,0.031156,-0.031388,0.033560,0.018271,0.028314,-0.009876,0.032500,0.002975,0.007634,,
1934,-0.014427,0.044555,-0.059406,0.242230,0.138434,0.100260,0.031791,0.067609,0.029259,0.089964,0.029311,0.059726,0.024935,0.001628,0.015152,,
1935,0.476688,0.049472,0.413684,0.401938,0.096149,0.049841,0.028082,0.021426,0.027634,0.070066,0.020199,0.049372,0.016281,0.001686,0.029851,,
1936,0.339213,0.053610,0.279226,0.647990,0.067443,0.075152,0.027747,0.046445,0.025541,0.030570,0.014415,0.015987,0.012935,0.001774,0.014493,,
1937,-0.350265,0.046566,-0.385914,-0.580077,0.027467,0.002320,0.026615,-0.024802,0.027336,0.015581,0.014822,0.000486,0.011436,0.003079,0.028571,,
1938,0.311216,0.048341,0.252133,0.327987,0.061327,0.055323,0.026424,0.028299,0.025237,0.062303,0.018194,0.043672,0.015200,-0.000162,-0.027778,,
1939,-0.004108,0.046933,-0.054504,0.003465,0.039663,0.059399,0.023995,0.034820,0.022589,0.045244,0.013121,0.031836,0.009839,0.000205,0.000000,,
1940,-0.097844,0.053644,-0.152922,-0.051553,0.033941,0.060869,0.022285,0.037665,0.019434,0.029614,0.008992,0.020449,0.005659,0.000048,0.007143,,
1941,-0.115921,0.067108,-0.178639,-0.090000,0.027314,0.009328,0.019437,-0.010137,0.020360,0.004950,0.006684,-0.001719,0.008235,0.000597,0.099291,,
1942,0.203403,0.067894,0.124281,0.445075,0.025981,0.032182,0.024588,0.007355,0.024572,0.019363,0.007647,0.011689,0.007172,0.002680,0.090323,,
1943,0.258997,0.062435,0.194473,0.883734,0.028326,0.020843,0.024420,-0.003748,0.024788,0.028100,0.015606,0.012322,0.014507,0.003472,0.029586,,
1944,0.197525,0.054842,0.137961,0.537223,0.047322,0.028147,0.024605,0.003230,0.024601,0.017952,0.014407,0.003463,0.014044,0.003305,0.022988,,
1945,0.364361,0.049700,0.307229,0.736108,0.040757,0.107344,0.023363,0.082748,0.019926,0.022189,0.011864,0.010238,0.010290,0.003296,0.022472,,
1946,-0.080713,0.040898,-0.118664,-0.116253,0.017230,-0.001017,0.020398,-0.021501,0.021235,0.010045,0.010796,-0.000775,0.011197,0.003531,0.181319,,
1947,0.057080,0.054901,0.000000,0.009150,-0.023364,-0.026231,0.021322,-0.046956,0.024319,0.009110,0.012147,-0.003040,0.013365,0.005034,0.088372,,
1948,0.055012,0.060783,-0.006536,-0.021120,0.041359,0.033987,0.024049,0.009581,0.023692,0.018476,0.015611,0.002735,0.015130,0.008112,0.029915,,
1949,0.187925,0.074999,0.102632,0.197483,0.033088,0.064487,0.022468,0.041457,0.020910,0.023231,0.013610,0.009510,0.012252,0.011026,-0.020747,,
1950,0.317130,0.087709,0.217780,0.387470,0.021152,0.000592,0.021221,-0.020629,0.022412,0.007012,0.013926,-0.006938,0.016182,0.011956,0.059322,,
1951,0.240164,0.069084,0.164625,0.078036,-0.026903,-0.039313,0.023796,-0.062685,0.026875,0.003620,0.019834,-0.016296,0.021703,0.014928,0.060000,,
1952,0.183675,0.059317,0.117796,0.030270,0.035209,0.011602,0.026583,-0.014812,0.027876,0.016332,0.021944,-0.005725,0.023510,0.016560,0.007547,,
1953,-0.009892,0.054572,-0.066240,-0.064872,0.034114,0.036369,0.028443,0.006721,0.027356,0.032324,0.025455,0.006148,0.021815,0.018237,0.007491,,
1954,0.526236,0.062071,0.450222,0.605828,0.053858,0.071873,0.027855,0.043533,0.027190,0.026824,0.015967,0.010788,0.017208,0.008639,-0.007435,,
1955,0.315627,0.045580,0.264036,0.204408,0.004797,-0.012926,0.027469,-0.040670,0.029471,-0.006505,0.024526,-0.031029,0.028011,0.015737,0.003745,,
1956,0.065559,0.038257,0.026165,0.042829,-0.068146,-0.055865,0.029887,-0.084587,0.034545,-0.004211,0.030529,-0.034535,0.036344,0.024592,0.029851,,
1957,-0.107824,0.038356,-0.143133,-0.145701,0.087135,0.074584,0.034396,0.038159,0.032330,0.078385,0.035904,0.040495,0.028386,0.031391,0.028985,,
1958,0.433636,0.043759,0.380595,0.648866,-0.022170,-0.060937,0.032708,-0.092294,0.038170,-0.012885,0.029307,-0.041724,0.038078,0.015415,0.017606,,
1959,0.119551,0.033147,0.084768,0.163983,-0.009668,-0.022573,0.040107,-0.061956,0.044710,-0.003906,0.041770,-0.045587,0.049774,0.029520,0.017301,,
1960,0.004696,0.032561,-0.029721,-0.032913,0.090665,0.137786,0.042623,0.092870,0.038031,0.117561,0.041451,0.074228,0.033070,0.026627,0.013605,,
1961,0.268885,0.034762,0.231285,0.320878,0.048183,0.009734,0.038339,-0.028600,0.041520,0.018493,0.035398,-0.017173,0.038436,0.021265,0.006711,,
1962,-0.087285,0.029769,-0.118099,-0.119027,0.079450,0.068867,0.039965,0.027837,0.039541,0.055641,0.037345,0.017312,0.034951,0.027336,0.013333,,
1963,0.228012,0.036135,0.188907,0.235654,0.021949,0.012132,0.038881,-0.026953,0.041694,0.016407,0.037118,-0.020994,0.040377,0.031165,0.016447,,
1964,0.164827,0.033323,0.129699,0.235227,0.047723,0.035061,0.041466,-0.007151,0.042266,0.040434,0.040035,-0.000343,0.040284,0.035357,0.009709,,
1965,0.124510,0.032094,0.090620,0.417535,-0.004568,0.007097,0.041950,-0.034497,0.045002,0.010184,0.041544,-0.031043,0.048998,0.039272,0.019231,,
1966,-0.100633,0.031051,-0.130910,-0.070118,0.001953,0.036518,0.044893,-0.010577,0.045549,0.046881,0.049262,-0.004112,0.047904,0.047593,0.034591,,
1967,0.239757,0.036350,0.200921,0.835685,-0.049506,-0.091811,0.045933,-0.135481,0.055599,0.010088,0.048791,-0.038550,0.057668,0.042100,0.030395,,
1968,0.110614,0.031824,0.076604,0.359715,0.025739,-0.002603,0.054965,-0.055080,0.059776,0.045350,0.054890,-0.009881,0.059560,0.052058,0.047198,,
1969,-0.085046,0.029849,-0.113615,-0.250523,-0.080904,-0.050737,0.059471,-0.108276,0.068670,-0.007366,0.066495,-0.072742,0.082858,0.065838,0.061972,,
1970,0.038569,0.033299,0.000978,-0.174339,0.183714,0.121059,0.067441,0.048386,0.064761,0.168588,0.074899,0.087096,0.058977,0.065250,0.055703,,
1971,0.143005,0.034876,0.106348,0.164996,0.110126,0.132297,0.063152,0.066070,0.059662,0.087207,0.057459,0.027218,0.052539,0.043861,0.032663,,
1972,0.189951,0.029530,0.157921,0.044341,0.072598,0.056860,0.058707,-0.003506,0.059937,0.051596,0.057483,-0.007468,0.058510,0.038400,0.034063,,
1973,-0.146892,0.028632,-0.173655,-0.309044,0.011395,-0.011068,0.065078,-0.076965,0.072562,0.046060,0.065751,-0.021899,0.067872,0.069303,0.087059,,
